foo,bar,baz,high,low
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120911,73,54
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120912,80,59
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120913,81,63
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120914,80,64
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120915,73,60
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120916,75,56
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120917,78,57
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120918,75,67
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120919,70,57
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120920,69,54
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120921,75,60
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120922,76,60
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120923,68,55
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120924,67,53
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120925,72,54
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120926,77,63
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120927,75,63
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120928,69,60
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120929,65,57
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20120930,68,55
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121001,70,52
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121002,69,62
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121003,73,63
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121004,74,66
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121005,78,61
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121006,77,54
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121007,54,46
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121008,55,44
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121009,58,50
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121010,66,53
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121011,59,47
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121012,56,42
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121013,53,38
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121014,70,53
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121015,71,59
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121016,59,48
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121017,61,44
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121018,65,50
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121019,66,61
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121020,69,54
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121021,65,49
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121022,66,49
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121023,65,54
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121024,59,56
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121025,62,55
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121026,65,57
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121027,65,59
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121028,59,55
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121029,62,52
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121030,54,47
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121031,50,44
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121101,51,43
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121102,53,42
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121103,51,40
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121104,51,39
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121105,45,35
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121106,42,31
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121107,41,31
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121108,48,32
